# model,batch_size, offpolicy_iterations, avg_result
1.000000000000000000e+00,3.200000000000000000e+01,2.560000000000000000e+02,-5.129504381448242611e+02
1.000000000000000000e+00,6.400000000000000000e+01,2.560000000000000000e+02,1.164067146215565458e+02
1.000000000000000000e+00,1.280000000000000000e+02,2.560000000000000000e+02,-5.110000000000000000e+02
1.000000000000000000e+00,2.560000000000000000e+02,2.560000000000000000e+02,-4.988940503718081345e+02
1.000000000000000000e+00,5.120000000000000000e+02,2.560000000000000000e+02,-4.777523545440582780e+02
1.000000000000000000e+00,1.024000000000000000e+03,2.560000000000000000e+02,-5.173999999999999773e+02
1.000000000000000000e+00,2.048000000000000000e+03,2.560000000000000000e+02,-5.041217783346201600e+02
1.000000000000000000e+00,4.096000000000000000e+03,2.560000000000000000e+02,-4.975126856402204680e+02
1.000000000000000000e+00,3.200000000000000000e+01,5.120000000000000000e+02,-5.200000000000000000e+02
1.000000000000000000e+00,6.400000000000000000e+01,5.120000000000000000e+02,9.475747029514899396e+02
1.000000000000000000e+00,1.280000000000000000e+02,5.120000000000000000e+02,-3.243102262533536759e+02
1.000000000000000000e+00,2.560000000000000000e+02,5.120000000000000000e+02,-5.200000000000000000e+02
1.000000000000000000e+00,5.120000000000000000e+02,5.120000000000000000e+02,-5.150000000000000000e+02
1.000000000000000000e+00,1.024000000000000000e+03,5.120000000000000000e+02,-5.188999999999999773e+02
1.000000000000000000e+00,2.048000000000000000e+03,5.120000000000000000e+02,-5.138999999999999773e+02
1.000000000000000000e+00,4.096000000000000000e+03,5.120000000000000000e+02,-5.182999999999999545e+02
1.000000000000000000e+00,3.200000000000000000e+01,1.024000000000000000e+03,3.328414740344274492e+02
1.000000000000000000e+00,6.400000000000000000e+01,1.024000000000000000e+03,-5.197999999999999545e+02
1.000000000000000000e+00,1.280000000000000000e+02,1.024000000000000000e+03,-5.201000000000000227e+02
1.000000000000000000e+00,2.560000000000000000e+02,1.024000000000000000e+03,-2.407364789152963931e+04
1.000000000000000000e+00,5.120000000000000000e+02,1.024000000000000000e+03,-5.162999999999999545e+02
1.000000000000000000e+00,1.024000000000000000e+03,1.024000000000000000e+03,-5.200000000000000000e+02
1.000000000000000000e+00,2.048000000000000000e+03,1.024000000000000000e+03,-4.757797208975038643e+02
1.000000000000000000e+00,4.096000000000000000e+03,1.024000000000000000e+03,-5.200000000000000000e+02
1.000000000000000000e+00,3.200000000000000000e+01,2.048000000000000000e+03,-5.241000000000000227e+02
1.000000000000000000e+00,6.400000000000000000e+01,2.048000000000000000e+03,-5.197999999999999545e+02
1.000000000000000000e+00,1.280000000000000000e+02,2.048000000000000000e+03,-5.100000000000000000e+02
1.000000000000000000e+00,2.560000000000000000e+02,2.048000000000000000e+03,-5.250000000000000000e+02
1.000000000000000000e+00,5.120000000000000000e+02,2.048000000000000000e+03,-1.450059187560293503e+04
1.000000000000000000e+00,1.024000000000000000e+03,2.048000000000000000e+03,-5.100000000000000000e+02
1.000000000000000000e+00,2.048000000000000000e+03,2.048000000000000000e+03,-9.010870855710583101e+02
1.000000000000000000e+00,4.096000000000000000e+03,2.048000000000000000e+03,-5.161000000000000227e+02
1.000000000000000000e+00,3.200000000000000000e+01,4.096000000000000000e+03,-5.162445759556579787e+02
1.000000000000000000e+00,6.400000000000000000e+01,4.096000000000000000e+03,-1.341240753731741825e+04
1.000000000000000000e+00,1.280000000000000000e+02,4.096000000000000000e+03,-5.165000000000000000e+02
1.000000000000000000e+00,2.560000000000000000e+02,4.096000000000000000e+03,-5.200000000000000000e+02
1.000000000000000000e+00,5.120000000000000000e+02,4.096000000000000000e+03,-5.200000000000000000e+02
1.000000000000000000e+00,1.024000000000000000e+03,4.096000000000000000e+03,-2.193374953220159659e+04
1.000000000000000000e+00,2.048000000000000000e+03,4.096000000000000000e+03,-2.256221433990924197e+03
1.000000000000000000e+00,4.096000000000000000e+03,4.096000000000000000e+03,-4.592273459733518393e+03
0.000000000000000000e+00,3.200000000000000000e+01,2.560000000000000000e+02,-3.764322981098189302e+02
0.000000000000000000e+00,6.400000000000000000e+01,2.560000000000000000e+02,-4.352742262866064493e+02
0.000000000000000000e+00,1.280000000000000000e+02,2.560000000000000000e+02,-4.524729133334911353e+02
0.000000000000000000e+00,2.560000000000000000e+02,2.560000000000000000e+02,-4.058528544493315167e+02
0.000000000000000000e+00,5.120000000000000000e+02,2.560000000000000000e+02,-4.949964826786206800e+02
0.000000000000000000e+00,1.024000000000000000e+03,2.560000000000000000e+02,-5.011000000000000227e+02
0.000000000000000000e+00,2.048000000000000000e+03,2.560000000000000000e+02,-4.813628867103813036e+02
0.000000000000000000e+00,4.096000000000000000e+03,2.560000000000000000e+02,-4.844138483219049363e+02
0.000000000000000000e+00,3.200000000000000000e+01,5.120000000000000000e+02,-5.017634428874042101e+02
0.000000000000000000e+00,6.400000000000000000e+01,5.120000000000000000e+02,-6.695374884687655737e+00
0.000000000000000000e+00,1.280000000000000000e+02,5.120000000000000000e+02,-5.051999999999999886e+02
0.000000000000000000e+00,2.560000000000000000e+02,5.120000000000000000e+02,-5.128999999999999773e+02
0.000000000000000000e+00,5.120000000000000000e+02,5.120000000000000000e+02,-5.084299416610554090e+02
0.000000000000000000e+00,1.024000000000000000e+03,5.120000000000000000e+02,7.527509756156763387e+02
0.000000000000000000e+00,2.048000000000000000e+03,5.120000000000000000e+02,-4.283112940264130657e+02
0.000000000000000000e+00,4.096000000000000000e+03,5.120000000000000000e+02,-2.162618824541152935e+04
0.000000000000000000e+00,3.200000000000000000e+01,1.024000000000000000e+03,-5.256000000000000227e+02
0.000000000000000000e+00,6.400000000000000000e+01,1.024000000000000000e+03,-5.167999999999999545e+02
0.000000000000000000e+00,1.280000000000000000e+02,1.024000000000000000e+03,-2.888305838477671205e+04
0.000000000000000000e+00,2.560000000000000000e+02,1.024000000000000000e+03,-5.200000000000000000e+02
0.000000000000000000e+00,5.120000000000000000e+02,1.024000000000000000e+03,-5.200000000000000000e+02
0.000000000000000000e+00,1.024000000000000000e+03,1.024000000000000000e+03,-5.200000000000000000e+02
0.000000000000000000e+00,2.048000000000000000e+03,1.024000000000000000e+03,-5.100000000000000000e+02
0.000000000000000000e+00,4.096000000000000000e+03,1.024000000000000000e+03,-5.177999999999999545e+02
0.000000000000000000e+00,3.200000000000000000e+01,2.048000000000000000e+03,-5.111999999999999886e+02
0.000000000000000000e+00,6.400000000000000000e+01,2.048000000000000000e+03,-5.247999999999999545e+02
0.000000000000000000e+00,1.280000000000000000e+02,2.048000000000000000e+03,-5.192000000000000455e+02
0.000000000000000000e+00,2.560000000000000000e+02,2.048000000000000000e+03,-5.100000000000000000e+02
0.000000000000000000e+00,5.120000000000000000e+02,2.048000000000000000e+03,-5.100000000000000000e+02
0.000000000000000000e+00,1.024000000000000000e+03,2.048000000000000000e+03,-5.200000000000000000e+02
0.000000000000000000e+00,2.048000000000000000e+03,2.048000000000000000e+03,-5.475205249322432337e+02
0.000000000000000000e+00,4.096000000000000000e+03,2.048000000000000000e+03,-4.732278265513308497e+02
0.000000000000000000e+00,3.200000000000000000e+01,4.096000000000000000e+03,-5.136027140428581106e+02
0.000000000000000000e+00,6.400000000000000000e+01,4.096000000000000000e+03,-8.702679079760329842e+03
0.000000000000000000e+00,1.280000000000000000e+02,4.096000000000000000e+03,-2.556910035581292686e+04
0.000000000000000000e+00,2.560000000000000000e+02,4.096000000000000000e+03,-5.100000000000000000e+02
0.000000000000000000e+00,5.120000000000000000e+02,4.096000000000000000e+03,-5.213316945429902489e+02
0.000000000000000000e+00,1.024000000000000000e+03,4.096000000000000000e+03,-5.217999999999999545e+02
0.000000000000000000e+00,2.048000000000000000e+03,4.096000000000000000e+03,-5.239199755018361202e+02
0.000000000000000000e+00,4.096000000000000000e+03,4.096000000000000000e+03,-5.394080579999571228e+02
